Mes,Nivel,Serie,CostoMensualUSD,CantidadMensual,NumeroMovimientos,NumeroItemsDistintos,NumeroProveedores,CostoPromedioMovimiento,CostoMedianoMovimiento,CostoMaximoMovimiento,MesNumerico,Trimestre,Anio,IndiceTemporal,Lag1,Lag2,Lag3,Lag12,MediaMovil3,MediaMovil6
2022-11,CATEGORIA,ACEITE,12272.749971000001,90.0,8.0,5.0,3.0,1534.0937463750001,929.6699980000001,5480.699977,11,4,2022,22,14776.273000000001,5462.63,22910.96,10147.965,14383.28766666667,10664.043833666667
2022-12,CATEGORIA,ACEITE,8783.74,50.0,9.0,8.0,2.0,975.9711111111111,412.2,4614.84,12,4,2022,23,12272.749971000001,14776.273000000001,5462.63,12718.108960000001,10837.217657000005,11560.598828833334
2023-01,CATEGORIA,ACEITE,4531.429999999999,9.0,4.0,4.0,1.0,1132.8574999999998,949.915,2441.6,1,1,2023,24,8783.74,12272.749971000001,14776.273000000001,4803.29,11944.25432366667,12278.710495500001
2023-02,CATEGORIA,ACEITE,20693.959984,107.0,15.0,13.0,3.0,1379.5973322666666,357.780001,6135.519985,2,1,2023,25,4531.429999999999,8783.74,12272.749971000001,38364.028999999995,8529.306657000003,11456.297161833332
2023-03,CATEGORIA,ACEITE,12937.370000000003,72.0,17.0,14.0,4.0,761.0217647058826,476.1,4272.8,3,1,2023,26,20693.959984,4531.429999999999,8783.74,1882.0,11336.376661333337,11086.797159166666
2023-04,CATEGORIA,ACEITE,4606.66,16.0,8.0,8.0,2.0,575.8325,560.0,1197.06,4,2,2023,27,12937.370000000003,20693.959984,4531.429999999999,11337.249999999998,12720.919994666672,12332.587159166667
2023-05,CATEGORIA,ACEITE,12698.849999999999,21.0,6.0,6.0,2.0,2116.475,1763.17,3662.4,5,2,2023,28,4606.66,12937.370000000003,20693.959984,6893.42,12745.996661333338,10637.651659166668
2023-06,CATEGORIA,ACEITE,4653.43,77.0,9.0,7.0,1.0,517.0477777777778,299.15,2059.5,6,2,2023,29,12698.849999999999,4606.66,12937.370000000003,4475.07,10080.960000000005,10708.668330666665
2023-07,CATEGORIA,ACEITE,16991.28,43.0,8.0,7.0,4.0,2123.91,754.9,9457.44,7,3,2023,30,4653.43,12698.849999999999,4606.66,9465.910002,7319.64666666667,10020.283330666667
2023-08,CATEGORIA,ACEITE,13615.658000000001,66.0,19.0,18.0,4.0,716.6135789473685,596.3,3076.46,8,3,2023,31,16991.28,4653.43,12698.849999999999,22910.96,11447.853333333338,12096.924997333334
2023-09,CATEGORIA,ACEITE,41057.679898,217.0,27.0,20.0,5.0,1520.654811037037,1180.0,7324.8,9,3,2023,32,13615.658000000001,16991.28,4653.43,5462.63,11753.456000000004,10917.208
2023-10,CATEGORIA,ACEITE,5499.19,65.0,7.0,4.0,3.0,785.5985714285714,662.6,2200.0,10,4,2023,33,41057.679898,13615.658000000001,16991.28,14776.273000000001,23888.205966000005,15603.926316333333
2023-11,CATEGORIA,ACEITE,45471.19,83.0,5.0,4.0,3.0,9094.238000000001,1020.0,25106.97,11,4,2023,34,5499.19,41057.679898,13615.658000000001,12272.749971000001,20057.50929933334,15752.681316333334
2024-01,CATEGORIA,ACEITE,816.0,120.0,1.0,1.0,1.0,816.0,816.0,816.0,1,1,2024,35,45471.19,5499.19,41057.679898,8783.74,30676.019966000003,21214.737983000003
2024-03,CATEGORIA,ACEITE,1984.3899999999999,310.0,4.0,3.0,1.0,496.09749999999997,511.45,662.34,3,1,2024,36,816.0,45471.19,5499.19,4531.429999999999,17262.12666666667,20575.166316333332
2024-04,CATEGORIA,ACEITE,26196.84,500.0,6.0,4.0,2.0,4366.14,3256.5,8686.59,4,2,2024,37,1984.3899999999999,816.0,45471.19,20693.959984,16090.52666666667,18074.017983
2024-05,CATEGORIA,ACEITE,170.0,2.0,2.0,1.0,1.0,85.0,85.0,136.0,5,2,2024,38,26196.84,1984.3899999999999,816.0,12937.370000000003,9665.743333333336,20170.881649666666
2024-07,CATEGORIA,ACEITE,2504.04,16.0,4.0,4.0,1.0,626.01,624.435,1199.17,7,3,2024,39,170.0,26196.84,1984.3899999999999,4606.66,9450.410000000002,13356.268333333333
2024-08,CATEGORIA,ACEITE,9201.03,100.0,4.0,2.0,2.0,2300.2575,2262.1400000000003,3389.42,8,3,2024,40,2504.04,170.0,26196.84,12698.849999999999,9623.626666666669,12857.076666666668
2024-09,CATEGORIA,ACEITE,5341.77,14.0,4.0,2.0,1.0,1335.4425,955.6600000000001,2835.97,9,3,2024,41,9201.03,2504.04,170.0,4653.43,3958.356666666669,6812.05
2024-10,CATEGORIA,ACEITE,11386.44,27.0,7.0,5.0,1.0,1626.6342857142859,1196.44,5947.36,10,4,2024,42,5341.77,9201.03,2504.04,16991.28,5682.2800000000025,7566.345
2024-11,CATEGORIA,ACEITE,706.65,3.0,2.0,2.0,1.0,353.325,353.325,650.65,11,4,2024,43,11386.44,5341.77,9201.03,13615.658000000001,8643.080000000002,9133.353333333334
2024-12,CATEGORIA,ACEITE,7883.08,10.0,6.0,3.0,1.0,1313.8466666666666,1197.725,2989.27,12,4,2024,44,706.65,11386.44,5341.77,41057.679898,5811.620000000003,4884.988333333334
2025-01,CATEGORIA,ACEITE,11525.17,30.0,11.0,5.0,1.0,1047.7427272727273,1187.49,2384.7,1,1,2025,45,7883.08,706.65,11386.44,5499.19,6658.723333333335,6170.501666666667
2025-02,CATEGORIA,ACEITE,9056.939999999999,25.0,8.0,4.0,1.0,1132.1174999999998,652.68,4144.23,2,1,2025,46,11525.17,7883.08,706.65,45471.19,6704.96666666667,7674.0233333333335
2025-03,CATEGORIA,ACEITE,7791.929999999999,33.0,9.0,6.0,1.0,865.77,678.58,1814.36,3,1,2025,47,9056.939999999999,11525.17,7883.08,816.0,9488.396666666667,7650.008333333334
2025-04,CATEGORIA,ACEITE,13402.890000000001,33.0,7.0,5.0,1.0,1914.6985714285715,1225.21,6126.03,4,2,2025,48,7791.929999999999,9056.939999999999,11525.17,1984.3899999999999,9458.013333333334,8058.368333333332
2025-05,CATEGORIA,ACEITE,14048.630000000001,128.0,17.0,13.0,1.0,826.3900000000001,617.73,2892.13,5,2,2025,49,13402.890000000001,7791.929999999999,9056.939999999999,26196.84,10083.920000000002,8394.443333333335
2025-06,CATEGORIA,ACEITE,14619.099999999999,198.0,14.0,9.0,3.0,1044.2214285714285,618.3199999999999,6189.05,6,2,2025,50,14048.630000000001,13402.890000000001,7791.929999999999,170.0,11747.816666666671,10618.106666666667
2025-07,CATEGORIA,ACEITE,15043.349999999999,41.0,9.0,6.0,2.0,1671.4833333333331,1197.06,4958.42,7,3,2025,51,14619.099999999999,14048.630000000001,13402.890000000001,2504.04,14023.540000000003,11740.776666666667
2025-08,CATEGORIA,ACEITE,15642.96,51.0,15.0,12.0,1.0,1042.864,619.8,5377.14,8,3,2025,52,15043.349999999999,14619.099999999999,14048.630000000001,9201.03,14570.36,12327.14
2025-09,CATEGORIA,ACEITE,10808.71,74.0,10.0,6.0,1.0,1080.8709999999999,906.365,3496.55,9,3,2025,53,15642.96,15043.349999999999,14619.099999999999,5341.77,15101.803333333335,13424.809999999998
2025-10,CATEGORIA,ACEITE,349.41999999999996,15.0,2.0,2.0,1.0,174.70999999999998,174.70999999999998,188.85,10,4,2025,54,10808.71,15642.96,15043.349999999999,11386.44,13831.673333333334,13927.606666666667
2025-11,CATEGORIA,ACEITE,947.09,25.0,2.0,2.0,1.0,473.545,473.545,723.09,11,4,2025,55,349.41999999999996,10808.71,15642.96,706.65,8933.696666666669,11752.028333333334
2025-12,CATEGORIA,ACEITE,503.6,2.0,1.0,1.0,1.0,503.6,503.6,503.6,12,4,2025,56,947.09,349.41999999999996,10808.71,7883.08,4035.0733333333355,9568.438333333334
2021-01,CATEGORIA,FERRETERIA,9322.455893999999,940.0,124.0,87.0,16.0,75.18109591935483,22.34,669.6429,1,1,2021,0,,,,,,
2021-02,CATEGORIA,FERRETERIA,20326.552578000003,5451.0,300.0,224.0,20.0,67.75517526,26.619999999999997,915.675,2,1,2021,1,9322.455893999999,,,,,
2021-03,CATEGORIA,FERRETERIA,39952.72367099999,3102.0,285.0,219.0,31.0,140.1849953368421,28.878,6500.0,3,1,2021,2,20326.552578000003,9322.455893999999,,,,
2021-04,CATEGORIA,FERRETERIA,51031.24911900001,8797.0,358.0,289.0,31.0,142.54538860055868,44.879999999999995,7980.0,4,2,2021,3,39952.72367099999,20326.552578000003,9322.455893999999,,23200.577381,
2021-05,CATEGORIA,FERRETERIA,53360.66688000001,5325.42,264.0,214.0,26.0,202.12373818181823,50.334999999999994,6111.0,5,2,2021,4,51031.24911900001,39952.72367099999,20326.552578000003,,37103.508456,
2021-06,CATEGORIA,FERRETERIA,37832.730398,4339.0,174.0,135.0,23.0,217.429485045977,25.08,7440.0,6,2,2021,5,53360.66688000001,51031.24911900001,39952.72367099999,,48114.879890000004,
2021-07,CATEGORIA,FERRETERIA,14424.312100000003,3835.0,124.0,107.0,21.0,116.32509758064518,23.11,2133.0,7,3,2021,6,37832.730398,53360.66688000001,51031.24911900001,,47408.215465666675,35304.39642333333
2021-08,CATEGORIA,FERRETERIA,14804.958852,2403.1,222.0,159.0,18.0,66.68900383783783,24.505,735.0,8,3,2021,7,14424.312100000003,37832.730398,53360.66688000001,,35205.903126000005,36154.705791
2021-09,CATEGORIA,FERRETERIA,81704.657923,7409.0,236.0,180.0,25.0,346.2061776398305,35.62875,14370.0,9,3,2021,8,14804.958852,14424.312100000003,37832.730398,,22354.000450000003,35234.44017000001
2021-10,CATEGORIA,FERRETERIA,44367.917792,1390.0,133.0,106.0,19.0,333.5933668571429,25.872,18345.0,10,4,2021,9,81704.657923,14804.958852,14424.312100000003,,36977.97629166667,42193.09587866667
2021-11,CATEGORIA,FERRETERIA,15667.764715,3594.0,116.0,95.0,18.0,135.06693719827587,27.0,5264.67,11,4,2021,10,44367.917792,81704.657923,14804.958852,,46959.178189,41082.5406575
2021-12,CATEGORIA,FERRETERIA,35449.310097999994,3091.0,135.0,108.0,17.0,262.5874822074074,30.0,24471.0,12,4,2021,11,15667.764715,44367.917792,81704.657923,,47246.78014333334,34800.390296666665
2022-01,CATEGORIA,FERRETERIA,30973.521839999998,572.0,63.0,55.0,16.0,491.64320380952375,91.8,9008.0,1,1,2022,12,35449.310097999994,15667.764715,44367.917792,9322.455893999999,31828.33086833333,34403.153580000006
2022-02,CATEGORIA,FERRETERIA,24895.762228,3006.0,134.0,111.0,20.0,185.78927035820894,60.45,2605.5,2,1,2022,13,30973.521839999998,35449.310097999994,15667.764715,20326.552578000003,27363.532217666663,37161.35520333333
2022-03,CATEGORIA,FERRETERIA,36105.321807,3494.0,409.0,174.0,14.0,88.27707043276284,18.0,5481.304,3,1,2022,14,24895.762228,30973.521839999998,35449.310097999994,39952.72367099999,30439.531388666666,38843.155765999996
2022-04,CATEGORIA,FERRETERIA,44004.132282,11982.0,248.0,196.0,24.0,177.43601726612903,29.515,13000.0,4,2,2022,15,36105.321807,24895.762228,30973.521839999998,51031.24911900001,30658.201958333335,31243.26641333333
2022-05,CATEGORIA,FERRETERIA,37365.116519999996,6366.43,184.0,153.0,24.0,203.0712854347826,41.0,9523.8,5,2,2022,16,44004.132282,36105.321807,24895.762228,53360.66688000001,35001.73877233333,31182.635495
2022-06,CATEGORIA,FERRETERIA,28496.210003,11886.0,185.0,158.0,30.0,154.0335675837838,26.4,3072.19,6,2,2022,17,37365.116519999996,44004.132282,36105.321807,37832.730398,39158.190203,34798.86079583333
2022-07,CATEGORIA,FERRETERIA,18283.331996,1948.0,151.0,133.0,23.0,121.08166884768212,23.76,3052.35,7,3,2022,18,28496.210003,37365.116519999996,44004.132282,14424.312100000003,36621.81960166667,33640.01078
2022-08,CATEGORIA,FERRETERIA,11210.579212,2402.0,122.0,104.0,16.0,91.88999354098361,33.745000000000005,1302.69,8,3,2022,19,18283.331996,28496.210003,37365.116519999996,14804.958852,28048.21950633333,31524.979139333333
2022-09,CATEGORIA,FERRETERIA,74546.57444099999,6503.0,121.0,116.0,19.0,616.0873920743801,48.51,13000.0,9,3,2022,20,11210.579212,18283.331996,28496.210003,81704.657923,19330.04040366667,29244.115303333336
2022-10,CATEGORIA,FERRETERIA,15365.135901999998,1647.0,106.0,76.0,12.0,144.95411228301884,45.1376,1324.09,10,4,2022,21,74546.57444099999,11210.579212,18283.331996,44367.917792,34680.161883,35650.99074233333
2022-11,CATEGORIA,FERRETERIA,27101.802381999998,3050.0,225.0,168.0,21.0,120.4524550311111,30.0,1597.6,11,4,2022,22,15365.135901999998,74546.57444099999,11210.579212,15667.764715,33707.42985166666,30877.824678999998
2022-12,CATEGORIA,FERRETERIA,5421.219391,12699.0,49.0,48.0,11.0,110.63713042857142,25.5024,1200.000001,12,4,2022,23,27101.802381999998,15365.135901999998,74546.57444099999,35449.310097999994,39004.50424166666,29167.272322666668
2023-01,CATEGORIA,FERRETERIA,11518.219029000002,3064.0,67.0,61.0,15.0,171.91371685074628,90.78,1475.0,1,1,2023,24,5421.219391,27101.802381999998,15365.135901999998,30973.521839999998,15962.719224999999,25321.440553999997
2023-02,CATEGORIA,FERRETERIA,30888.115077000006,3475.5,311.0,229.0,24.0,99.31869799678458,32.73,1280.0,2,1,2023,25,11518.219029000002,5421.219391,27101.802381999998,24895.762228,14680.413600666667,24193.921726166664
2023-03,CATEGORIA,FERRETERIA,85413.49965499999,3096.0,286.0,222.0,21.0,298.64860019230764,30.0,24502.92,3,1,2023,26,30888.115077000006,11518.219029000002,5421.219391,36105.321807,15942.517832333337,27473.511037
2023-04,CATEGORIA,FERRETERIA,34588.453147,4265.0,181.0,162.0,22.0,191.09642622651933,72.0,7880.0,4,2,2023,27,85413.49965499999,30888.115077000006,11518.219029000002,44004.132282,42606.61125366667,29284.66523933333
2023-05,CATEGORIA,FERRETERIA,174609.20090099997,11595.0,427.0,404.0,24.0,408.9208452014051,71.74,24502.92,5,2,2023,28,34588.453147,85413.49965499999,30888.115077000006,37365.116519999996,50296.689293,32488.55144683333
2023-06,CATEGORIA,FERRETERIA,141343.209331,8494.75,277.0,238.0,40.0,510.2642936137184,36.0,102500.0,6,2,2023,29,174609.20090099997,34588.453147,85413.49965499999,28496.210003,98203.717901,57073.11786666666
2023-07,CATEGORIA,FERRETERIA,178417.80278700002,3150.0,246.0,209.0,37.0,725.275621085366,39.445,42993.3,7,3,2023,30,141343.209331,174609.20090099997,34588.453147,18283.331996,116846.95445966667,79726.78285666666
2023-08,CATEGORIA,FERRETERIA,75452.702926,8106.0,358.0,305.0,31.0,210.76174001675977,44.879999999999995,7080.0,8,3,2023,31,178417.80278700002,141343.209331,174609.20090099997,11210.579212,164790.07100633334,107543.38014966667
2023-09,CATEGORIA,FERRETERIA,28709.138356000003,3118.0,191.0,160.0,20.0,150.30962490052357,32.04,3869.649984,9,3,2023,32,75452.702926,178417.80278700002,141343.209331,74546.57444099999,131737.9050146667,114970.81145783333
2023-10,CATEGORIA,FERRETERIA,86190.273573,4777.9,281.0,196.0,29.0,306.7269522170819,29.7,17652.18,10,4,2023,33,28709.138356000003,75452.702926,178417.80278700002,15365.135901999998,94193.21468966668,105520.08457466667
2023-11,CATEGORIA,FERRETERIA,27748.610010999997,4300.0,227.0,171.0,30.0,122.2405727356828,29.7,4180.0,11,4,2023,34,86190.273573,28709.138356000003,75452.702926,27101.802381999998,63450.70495166667,114120.38797899999
2023-12,CATEGORIA,FERRETERIA,22022.535099999997,2370.0,127.0,122.0,20.0,173.40578818897635,33.8,5379.76,12,4,2023,35,27748.610010999997,86190.273573,28709.138356000003,5421.219391,47549.34064666667,89643.62283066667
2024-01,CATEGORIA,FERRETERIA,358.42,2.0,1.0,1.0,1.0,358.42,358.42,358.42,1,1,2024,36,22022.535099999997,27748.610010999997,86190.273573,11518.219029000002,45320.47289466666,69756.84379216668
2024-02,CATEGORIA,FERRETERIA,1446.0,1000.0,3.0,3.0,2.0,482.0,182.4,1207.6,2,1,2024,37,358.42,22022.535099999997,27748.610010999997,30888.115077000006,16709.855036999998,40080.27999433333
2024-03,CATEGORIA,FERRETERIA,5510.200000000001,5694.0,30.0,27.0,8.0,183.67333333333335,41.44,2222.44,3,1,2024,38,1446.0,358.42,22022.535099999997,85413.49965499999,7942.318366666666,27745.829506666665
2024-04,CATEGORIA,FERRETERIA,4502.0,25270.0,67.0,60.0,10.0,67.19402985074628,28.82,384.0,4,2,2024,39,5510.200000000001,1446.0,358.42,34588.453147,2438.206666666667,23879.33978066666
2024-05,CATEGORIA,FERRETERIA,1049.6399999999999,40.0,4.0,3.0,2.0,262.40999999999997,259.92499999999995,526.79,5,2,2024,40,4502.0,5510.200000000001,1446.0,174609.20090099997,3819.4,10264.6275185
2024-06,CATEGORIA,FERRETERIA,9392.789999999999,557.0,25.0,19.0,4.0,375.7116,104.52,3176.25,6,2,2024,41,1049.6399999999999,4502.0,5510.200000000001,141343.209331,3687.28,5814.799183333333
2024-07,CATEGORIA,FERRETERIA,68966.39000000001,2343.0,81.0,75.0,14.0,851.436913580247,53.58,32770.15,7,3,2024,42,9392.789999999999,1049.6399999999999,4502.0,178417.80278700002,4981.4766666666665,3709.8416666666667
2024-08,CATEGORIA,FERRETERIA,7775.729999999999,795.0,11.0,9.0,4.0,706.8845454545453,316.2,4113.2,8,3,2024,43,68966.39000000001,9392.789999999999,1049.6399999999999,75452.702926,26469.60666666667,15144.503333333336
2024-09,CATEGORIA,FERRETERIA,42924.090000000004,906.0,69.0,58.0,8.0,622.0882608695653,119.6,5979.0,9,3,2024,44,7775.729999999999,68966.39000000001,9392.789999999999,28709.138356000003,28711.63666666667,16199.458333333336
2024-10,CATEGORIA,FERRETERIA,413.74999999999994,139.0,6.0,2.0,1.0,68.95833333333333,61.64,170.17,10,4,2024,45,42924.090000000004,7775.729999999999,68966.39000000001,86190.273573,39888.73666666667,22435.10666666667
2024-11,CATEGORIA,FERRETERIA,3169.63,66.0,3.0,3.0,1.0,1056.5433333333333,124.73,2999.0,11,4,2024,46,413.74999999999994,42924.090000000004,7775.729999999999,27748.610010999997,17037.856666666667,21753.73166666667
2025-01,CATEGORIA,FERRETERIA,71.58,15.0,3.0,1.0,1.0,23.86,23.86,23.86,1,1,2025,47,3169.63,413.74999999999994,42924.090000000004,22022.535099999997,15502.49,22107.06333333334
2025-02,CATEGORIA,FERRETERIA,1494.8799999999999,285.0,20.0,13.0,1.0,74.744,42.06,285.59,2,1,2025,48,71.58,3169.63,413.74999999999994,358.42,1218.32,20553.528333333335
2025-03,CATEGORIA,FERRETERIA,940.2199999999998,144.0,23.0,15.0,1.0,40.8791304347826,15.93,291.99,3,1,2025,49,1494.8799999999999,71.58,3169.63,1446.0,1578.6966666666667,9308.276666666667
2025-04,CATEGORIA,FERRETERIA,697.93,94.0,14.0,12.0,1.0,49.85214285714285,23.54,315.0,4,2,2025,50,940.2199999999998,1494.8799999999999,71.58,5510.200000000001,835.5599999999998,8169.025000000001
2025-05,CATEGORIA,FERRETERIA,6218.64,988.0,69.0,44.0,2.0,90.12521739130435,16.0,3625.94,5,2,2025,51,697.93,940.2199999999998,1494.8799999999999,4502.0,1044.3433333333332,1131.3316666666667
2025-06,CATEGORIA,FERRETERIA,17768.870000000003,1346.0,106.0,90.0,15.0,167.6308490566038,26.564999999999998,6669.06,6,2,2025,52,6218.64,697.93,940.2199999999998,1049.6399999999999,2618.93,2098.8133333333335
2025-07,CATEGORIA,FERRETERIA,34281.61,3196.0,161.0,110.0,15.0,212.9292546583851,48.51,8802.76,7,3,2025,53,17768.870000000003,6218.64,697.93,9392.789999999999,8228.480000000001,4532.02
2025-08,CATEGORIA,FERRETERIA,31520.62,4663.0,138.0,119.0,13.0,228.41028985507245,58.95,3624.88,8,3,2025,54,34281.61,17768.870000000003,6218.64,68966.39000000001,19423.04,10233.691666666668
2025-09,CATEGORIA,FERRETERIA,6664.579999999999,2107.0,68.0,42.0,10.0,98.0085294117647,21.92,840.0,9,3,2025,55,31520.62,34281.61,17768.870000000003,7775.729999999999,27857.033333333336,15237.981666666668
2025-10,CATEGORIA,FERRETERIA,1007.4600000000002,262.0,76.0,29.0,1.0,13.25605263157895,8.6,53.4,10,4,2025,56,6664.579999999999,31520.62,34281.61,42924.090000000004,24155.603333333336,16192.04166666667
2025-11,CATEGORIA,FERRETERIA,4324.04,197.0,26.0,19.0,1.0,166.30923076923077,7.225,1809.15,11,4,2025,57,1007.4600000000002,6664.579999999999,31520.62,413.74999999999994,13064.22,16243.63
2025-12,CATEGORIA,FERRETERIA,3531.91,690.0,60.0,55.0,3.0,58.86516666666667,18.025,905.62,12,4,2025,58,4324.04,1007.4600000000002,6664.579999999999,3169.63,3998.6933333333327,15927.863333333335
2021-01,CATEGORIA,FILTROS,1608.4799999999998,60.0,7.0,6.0,3.0,229.78285714285713,135.1,581.52,1,1,2021,0,,,,,,
2021-02,CATEGORIA,FILTROS,2937.65,261.0,19.0,17.0,3.0,154.61315789473684,112.0,490.8,2,1,2021,1,1608.4799999999998,,,,,
2021-03,CATEGORIA,FILTROS,3842.72,58.0,7.0,7.0,2.0,548.9599999999999,269.2,1695.8,3,1,2021,2,2937.65,1608.4799999999998,,,,
2021-04,CATEGORIA,FILTROS,1053.14,26.0,6.0,4.0,1.0,175.52333333333334,119.57000000000001,561.6,4,2,2021,3,3842.72,2937.65,1608.4799999999998,,2796.283333333333,
2021-05,CATEGORIA,FILTROS,3685.44,100.0,7.0,7.0,2.0,526.4914285714286,364.68,1467.48,5,2,2021,4,1053.14,3842.72,2937.65,,2611.17,
2021-06,CATEGORIA,FILTROS,5096.46,115.0,11.0,8.0,2.0,463.31454545454545,389.4,1362.9,6,2,2021,5,3685.44,1053.14,3842.72,,2860.433333333333,
2021-07,CATEGORIA,FILTROS,4969.1900000000005,98.0,11.0,11.0,5.0,451.7445454545455,136.0,2543.7,7,3,2021,6,5096.46,3685.44,1053.14,,3278.346666666667,3037.315
2021-08,CATEGORIA,FILTROS,10215.3594,86.0,8.0,8.0,3.0,1276.919925,500.86,4274.5652,8,3,2021,7,4969.1900000000005,5096.46,3685.44,,4583.696666666667,3597.433333333333
2021-09,CATEGORIA,FILTROS,4041.432782,88.0,10.0,8.0,3.0,404.1432782,281.3468005,1232.88,9,3,2021,8,10215.3594,4969.1900000000005,5096.46,,6760.336466666667,4810.3849
2021-10,CATEGORIA,FILTROS,3003.780004,96.0,7.0,7.0,3.0,429.11142914285716,280.0,1482.18,10,4,2021,9,4041.432782,10215.3594,4969.1900000000005,,6408.660727333333,4843.503697
2021-11,CATEGORIA,FILTROS,6898.37,35.0,6.0,4.0,1.0,1149.7283333333332,821.92,2543.7,11,4,2021,10,3003.780004,4041.432782,10215.3594,,5753.5240619999995,5168.610364333333
2021-12,CATEGORIA,FILTROS,1438.48,54.0,4.0,4.0,3.0,359.62,278.71,731.46,12,4,2021,11,6898.37,3003.780004,4041.432782,,4647.860928666666,5704.098697666667
