ItemAnonimo,MesesObservados,MesesConDemandaPositiva,ProporcionCeros,DemandaMediaPositiva,VarianzaDemandaPositiva,ADI,CV2,Clasificacion,Elegible,MotivoNoElegibilidad,CostoTotalUSD
ITEM_0018,1,1,0.9833,4.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",38955.03
ITEM_0020,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",38686.8
ITEM_0021,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",35500.0
ITEM_0022,6,6,0.9,2.0,0.4,7.0,0.1,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",34887.61
ITEM_0023,2,2,0.9667,11.0,2.0,13.0,0.0165,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",33094.68
ITEM_0025,2,2,0.9667,30.0,1352.0,7.0,1.5022,Lumpy,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",45932.03
ITEM_0026,2,2,0.9667,12.0,0.0,3.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",49005.84
ITEM_0027,3,3,0.95,50.6667,1521.3333,13.5,0.5926,Lumpy,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",24821.07
ITEM_0028,1,1,0.9833,32.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",24427.16
ITEM_0029,1,1,0.9833,4.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",22058.54
ITEM_0030,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",21861.88
ITEM_0032,1,1,0.9833,24.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",21639.03
ITEM_0033,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",20905.8
ITEM_0034,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",19962.0
ITEM_0035,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",39174.29
ITEM_0037,1,1,0.9833,12.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",18736.2
ITEM_0038,1,1,0.9833,7.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",18550.0
ITEM_0039,1,1,0.9833,6.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",32190.0
ITEM_0040,1,1,0.9833,12.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",18080.85
ITEM_0042,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",17370.41
ITEM_0043,1,1,0.9833,12.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",17315.25
ITEM_0044,1,1,0.9833,7.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",17047.03
ITEM_0047,1,1,0.9833,4.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",30222.0
ITEM_0049,28,28,0.5333,3.6786,10.6706,2.2222,0.7886,Lumpy,True,,183295.89
ITEM_0050,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",15180.0
ITEM_0053,1,1,0.9833,10.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",14926.5
ITEM_0055,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",14600.0
ITEM_0058,1,1,0.9833,6.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",14370.0
ITEM_0059,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",14051.0
ITEM_0061,2,2,0.9667,2.0,0.0,18.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",27600.0
ITEM_0062,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",13500.0
ITEM_0063,1,1,0.9833,6.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",13446.8
ITEM_0064,2,2,0.9667,2.0,0.0,2.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",26640.54
ITEM_0065,3,3,0.95,6.0,12.0,2.5,0.3333,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",14094.93
ITEM_0067,1,1,0.9833,7.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",12991.84
ITEM_0068,9,9,0.85,1.1111,0.1111,4.625,0.09,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",36171.49
ITEM_0069,3,3,0.95,5.3333,17.3333,8.0,0.6094,Lumpy,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",32393.88
ITEM_0070,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",12200.0
ITEM_0071,1,1,0.9833,6.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",12165.06
ITEM_0074,5,5,0.9167,9.4,17.3,15.0,0.1958,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",17524.7
ITEM_0075,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",11400.0
ITEM_0076,4,4,0.9333,2.25,6.25,5.0,1.2346,Lumpy,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",11573.99
ITEM_0077,1,1,0.9833,10.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",11211.74
ITEM_0078,1,1,0.9833,4.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",11116.87
ITEM_0081,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",10976.7
ITEM_0082,4,4,0.9333,14.5,46.3333,10.6667,0.2204,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",11257.43
ITEM_0083,13,13,0.7833,7.4615,36.2692,3.6667,0.6515,Lumpy,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",55179.03
ITEM_0084,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",10000.0
ITEM_0085,1,1,0.9833,54.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",9985.68
ITEM_0086,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",9900.0
ITEM_0087,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",9879.16
ITEM_0088,2,2,0.9667,1.5,0.5,15.0,0.2222,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",14800.0
ITEM_0089,2,2,0.9667,12.0,0.0,3.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",19220.4
ITEM_0090,1,1,0.9833,6.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",9600.0
ITEM_0092,7,7,0.8833,9.4286,31.619,5.0,0.3557,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",46721.31
ITEM_0093,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",9400.0
ITEM_0094,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",9338.34
ITEM_0095,6,6,0.9,5.5,12.7,6.0,0.4198,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",22565.22
ITEM_0096,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",9200.0
ITEM_0097,3,3,0.95,40.6667,329.3333,8.5,0.1991,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",20934.14
ITEM_0098,1,1,0.9833,4.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",9008.0
ITEM_0099,2,2,0.9667,16.0,32.0,13.0,0.125,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8846.52
ITEM_0100,1,1,0.9833,4.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8736.0
ITEM_0101,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8725.38
ITEM_0102,2,2,0.9667,150.0,9800.0,5.0,0.4356,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",23706.07
ITEM_0103,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8580.0
ITEM_0105,2,2,0.9667,24.0,32.0,7.0,0.0556,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",19216.09
ITEM_0106,1,1,0.9833,3.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8441.55
ITEM_0107,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8398.53
ITEM_0108,1,1,0.9833,8.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8378.85
ITEM_0109,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8223.53
ITEM_0110,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8217.0
ITEM_0112,4,4,0.9333,5.0,8.6667,7.3333,0.3467,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",9942.58
ITEM_0113,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",7963.83
ITEM_0114,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",7950.0
ITEM_0116,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",7860.0
ITEM_0118,2,2,0.9667,2.0,0.0,18.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",15600.0
ITEM_0119,1,1,0.9833,14.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",7687.5
ITEM_0120,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",7644.0
ITEM_0122,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",7578.78
ITEM_0123,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",7541.42
ITEM_0124,25,25,0.5833,10.04,370.3733,2.4167,3.6743,Lumpy,True,,156288.49
ITEM_0128,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",7387.36
ITEM_0132,14,14,0.7667,5.1429,9.6703,5.0769,0.3656,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",24861.32
ITEM_0134,1,1,0.9833,16.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",9772.14
ITEM_0138,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",7034.81
ITEM_0141,3,3,0.95,14.0,108.0,8.0,0.551,Lumpy,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6935.06
ITEM_0142,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6651.38
ITEM_0146,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6431.19
ITEM_0147,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6377.46
ITEM_0148,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6352.5
ITEM_0149,8,8,0.8667,2.625,5.125,5.4286,0.7438,Lumpy,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",17931.06
ITEM_0150,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6319.11
ITEM_0151,2,2,0.9667,3.0,8.0,3.0,0.8889,Lumpy,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6324.0
ITEM_0153,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6271.42
ITEM_0154,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6211.7
ITEM_0155,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6201.95
ITEM_0156,13,13,0.7833,7.6154,19.7564,2.1667,0.3407,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",60599.01
ITEM_0157,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6160.8
ITEM_0158,12,12,0.8,5.4167,3.5379,6.0,0.1206,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",45012.42
ITEM_0160,1,1,0.9833,12.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8488.7
ITEM_0161,1,1,0.9833,12.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",6096.0
ITEM_0166,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5979.0
ITEM_0167,1,1,0.9833,6.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5978.82
ITEM_0168,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5951.4
ITEM_0169,1,1,0.9833,12.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5920.92
ITEM_0170,1,1,0.9833,6.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5915.28
ITEM_0171,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5895.0
ITEM_0172,1,1,0.9833,3.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5875.2
ITEM_0173,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5851.21
ITEM_0174,12,12,0.8,14.75,113.2955,6.3636,0.5207,Lumpy,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",18950.92
ITEM_0178,1,1,0.9833,2.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5707.11
ITEM_0179,2,2,0.9667,1.5,0.5,15.0,0.2222,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",8690.0
ITEM_0180,1,1,0.9833,1.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5685.38
ITEM_0181,23,23,0.6167,175.1304,213672.8458,3.5455,6.9667,Lumpy,True,,12754.15
ITEM_0182,1,1,0.9833,4.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5597.41
ITEM_0183,11,11,0.8167,6.8182,32.5636,4.2,0.7005,Lumpy,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",45188.1
ITEM_0185,1,1,0.9833,10.0,0.0,60.0,0.0,Intermitente,False,"Meses observados o demandas positivas insuficientes para conformar entrenamiento y prueba (umbral operativo: 15 meses observados, 4 demandas positivas).",5520.0
